alpha,active_topics_above_threshold,topic_threshold
0.05,3,0.05
0.05,4,0.05
0.05,5,0.05
0.05,5,0.05
0.05,4,0.05
0.05,2,0.05
0.05,5,0.05
0.05,5,0.05
0.05,5,0.05
0.05,5,0.05
0.05,4,0.05
0.05,3,0.05
0.05,5,0.05
0.05,5,0.05
0.05,2,0.05
0.05,5,0.05
0.05,3,0.05
0.05,5,0.05
0.05,4,0.05
0.05,2,0.05
0.05,4,0.05
0.05,6,0.05
0.05,3,0.05
0.05,5,0.05
0.05,2,0.05
0.05,3,0.05
0.05,4,0.05
0.05,3,0.05
0.05,3,0.05
0.05,8,0.05
0.05,4,0.05
0.05,5,0.05
0.05,7,0.05
0.05,7,0.05
0.05,6,0.05
0.05,7,0.05
0.05,2,0.05
0.05,5,0.05
0.05,4,0.05
0.05,3,0.05
0.05,3,0.05
0.05,5,0.05
0.05,4,0.05
0.05,3,0.05
0.05,5,0.05
0.05,8,0.05
0.05,7,0.05
0.05,3,0.05
0.05,5,0.05
0.05,4,0.05
0.05,6,0.05
0.05,5,0.05
0.05,3,0.05
0.05,3,0.05
0.05,2,0.05
0.05,4,0.05
0.05,3,0.05
0.05,7,0.05
0.05,6,0.05
0.05,8,0.05
0.05,6,0.05
0.05,4,0.05
0.05,4,0.05
0.05,3,0.05
0.05,6,0.05
0.05,6,0.05
0.05,7,0.05
0.05,7,0.05
0.05,5,0.05
0.05,4,0.05
0.05,3,0.05
0.05,3,0.05
0.05,4,0.05
0.05,6,0.05
0.05,3,0.05
0.05,6,0.05
0.05,3,0.05
0.05,3,0.05
0.05,4,0.05
0.05,4,0.05
0.05,8,0.05
0.05,1,0.05
0.05,6,0.05
0.05,4,0.05
0.05,4,0.05
0.05,6,0.05
0.05,6,0.05
0.05,7,0.05
0.05,5,0.05
0.05,4,0.05
0.05,5,0.05
0.05,8,0.05
0.05,5,0.05
0.05,5,0.05
0.05,2,0.05
0.05,8,0.05
0.05,5,0.05
0.05,6,0.05
0.05,3,0.05
0.05,4,0.05
0.05,5,0.05
0.05,3,0.05
0.05,4,0.05
0.05,5,0.05
0.05,4,0.05
0.05,6,0.05
0.05,3,0.05
0.05,6,0.05
0.05,3,0.05
0.05,5,0.05
0.05,2,0.05
0.05,3,0.05
0.05,3,0.05
0.05,4,0.05
0.05,2,0.05
0.05,6,0.05
0.05,5,0.05
0.05,4,0.05
0.05,4,0.05
0.05,2,0.05
0.05,1,0.05
0.05,4,0.05
0.05,6,0.05
0.05,5,0.05
0.05,5,0.05
0.05,5,0.05
0.05,3,0.05
0.05,5,0.05
0.05,3,0.05
0.05,7,0.05
0.05,3,0.05
0.05,4,0.05
0.05,4,0.05
0.05,7,0.05
0.05,3,0.05
0.05,5,0.05
0.05,4,0.05
0.05,3,0.05
0.05,4,0.05
0.05,4,0.05
0.05,4,0.05
0.05,3,0.05
0.05,4,0.05
0.05,3,0.05
0.05,5,0.05
0.05,2,0.05
0.05,6,0.05
0.05,6,0.05
0.05,3,0.05
0.05,4,0.05
0.05,7,0.05
0.05,6,0.05
0.05,5,0.05
0.05,6,0.05
0.05,4,0.05
0.05,5,0.05
0.05,6,0.05
0.05,5,0.05
0.05,7,0.05
0.05,3,0.05
0.05,4,0.05
0.05,4,0.05
0.05,2,0.05
0.05,4,0.05
0.05,3,0.05
0.05,4,0.05
0.05,3,0.05
0.05,4,0.05
0.05,4,0.05
0.05,4,0.05
0.05,4,0.05
0.05,6,0.05
0.05,5,0.05
0.05,4,0.05
0.05,6,0.05
0.05,6,0.05
0.05,4,0.05
0.05,6,0.05
0.05,6,0.05
0.05,5,0.05
0.05,5,0.05
0.05,3,0.05
0.05,5,0.05
0.05,4,0.05
0.05,4,0.05
0.05,5,0.05
0.05,5,0.05
0.05,5,0.05
0.05,6,0.05
0.05,5,0.05
0.05,7,0.05
0.05,5,0.05
0.05,6,0.05
0.05,3,0.05
0.05,4,0.05
0.05,4,0.05
0.05,6,0.05
0.05,6,0.05
0.05,3,0.05
0.05,4,0.05
0.05,6,0.05
0.05,4,0.05
0.05,7,0.05
0.05,3,0.05
0.05,5,0.05
0.05,5,0.05
0.05,3,0.05
0.05,4,0.05
0.05,1,0.05
0.05,4,0.05
0.05,2,0.05
0.05,3,0.05
0.05,7,0.05
0.05,3,0.05
0.05,4,0.05
0.05,4,0.05
0.05,3,0.05
0.05,2,0.05
0.05,4,0.05
0.05,4,0.05
0.05,7,0.05
0.05,4,0.05
0.05,1,0.05
0.05,5,0.05
0.05,5,0.05
0.05,3,0.05
0.05,2,0.05
0.05,4,0.05
0.05,5,0.05
0.05,6,0.05
0.05,4,0.05
0.05,5,0.05
0.05,3,0.05
0.05,4,0.05
0.05,4,0.05
0.05,4,0.05
0.05,6,0.05
0.05,6,0.05
0.05,6,0.05
0.05,3,0.05
0.05,5,0.05
0.05,4,0.05
0.05,6,0.05
0.05,5,0.05
0.05,6,0.05
0.05,6,0.05
0.05,4,0.05
0.05,4,0.05
0.05,5,0.05
0.05,4,0.05
0.05,4,0.05
0.05,3,0.05
0.05,4,0.05
0.05,3,0.05
0.05,6,0.05
0.05,6,0.05
0.05,2,0.05
0.05,4,0.05
0.05,5,0.05
0.05,5,0.05
0.05,6,0.05
0.05,6,0.05
0.05,3,0.05
0.05,5,0.05
0.05,3,0.05
0.05,5,0.05
0.05,2,0.05
0.05,7,0.05
0.05,4,0.05
0.05,6,0.05
0.05,5,0.05
0.05,6,0.05
0.05,4,0.05
0.05,2,0.05
0.05,6,0.05
0.05,7,0.05
0.05,4,0.05
0.05,5,0.05
0.05,4,0.05
0.05,1,0.05
0.05,5,0.05
0.05,4,0.05
0.05,3,0.05
0.05,5,0.05
0.05,5,0.05
0.05,4,0.05
0.05,4,0.05
0.05,5,0.05
0.05,7,0.05
0.05,8,0.05
0.05,5,0.05
0.05,3,0.05
0.05,4,0.05
0.05,4,0.05
0.05,7,0.05
0.05,6,0.05
0.05,3,0.05
0.05,5,0.05
0.05,5,0.05
0.05,5,0.05
0.05,6,0.05
0.05,4,0.05
0.05,6,0.05
0.05,4,0.05
0.05,2,0.05
0.05,5,0.05
0.05,4,0.05
0.05,3,0.05
0.05,4,0.05
0.05,7,0.05
0.05,4,0.05
0.05,5,0.05
0.05,5,0.05
0.05,7,0.05
0.05,5,0.05
0.05,5,0.05
0.05,4,0.05
0.05,4,0.05
0.05,3,0.05
0.05,5,0.05
0.05,2,0.05
0.05,4,0.05
0.05,7,0.05
0.05,7,0.05
0.05,4,0.05
0.05,3,0.05
0.05,6,0.05
0.05,2,0.05
0.05,3,0.05
0.05,8,0.05
0.05,4,0.05
0.05,4,0.05
0.05,4,0.05
0.05,3,0.05
0.05,4,0.05
0.05,9,0.05
0.05,7,0.05
0.05,4,0.05
0.05,3,0.05
0.05,6,0.05
0.05,2,0.05
0.05,3,0.05
0.05,5,0.05
0.05,4,0.05
0.05,6,0.05
0.05,4,0.05
0.05,5,0.05
0.05,6,0.05
0.05,3,0.05
0.05,4,0.05
0.05,5,0.05
0.05,4,0.05
0.05,3,0.05
0.05,2,0.05
0.05,5,0.05
0.05,4,0.05
0.05,8,0.05
0.05,2,0.05
0.05,3,0.05
0.05,7,0.05
0.05,3,0.05
0.05,6,0.05
0.05,6,0.05
0.05,4,0.05
0.05,7,0.05
0.05,4,0.05
0.05,9,0.05
0.05,4,0.05
0.05,3,0.05
0.05,5,0.05
0.05,7,0.05
0.05,4,0.05
0.05,5,0.05
0.05,4,0.05
0.05,6,0.05
0.05,3,0.05
0.05,4,0.05
0.05,4,0.05
0.05,3,0.05
0.05,4,0.05
0.05,5,0.05
0.05,6,0.05
0.05,6,0.05
0.05,5,0.05
0.05,4,0.05
0.05,3,0.05
0.05,5,0.05
0.05,2,0.05
0.05,7,0.05
0.05,5,0.05
0.05,4,0.05
0.05,5,0.05
0.05,5,0.05
0.05,6,0.05
0.05,3,0.05
0.05,4,0.05
0.05,6,0.05
0.05,5,0.05
0.05,4,0.05
0.05,5,0.05
0.05,3,0.05
0.05,5,0.05
0.05,2,0.05
0.05,3,0.05
0.05,4,0.05
0.05,4,0.05
0.05,5,0.05
0.05,5,0.05
0.05,5,0.05
0.05,5,0.05
0.05,6,0.05
0.05,6,0.05
0.05,3,0.05
0.05,6,0.05
0.05,2,0.05
0.05,5,0.05
0.05,6,0.05
0.05,6,0.05
0.05,3,0.05
0.05,6,0.05
0.05,5,0.05
0.05,6,0.05
0.05,6,0.05
0.05,4,0.05
0.05,6,0.05
0.05,5,0.05
0.05,4,0.05
0.05,8,0.05
0.05,4,0.05
0.05,4,0.05
0.05,4,0.05
0.05,6,0.05
0.05,8,0.05
0.05,5,0.05
0.05,4,0.05
0.05,10,0.05
0.05,3,0.05
0.05,6,0.05
0.05,7,0.05
0.05,3,0.05
0.05,5,0.05
0.05,8,0.05
0.05,4,0.05
0.05,5,0.05
0.05,6,0.05
0.05,4,0.05
0.05,6,0.05
0.05,3,0.05
0.05,4,0.05
0.05,5,0.05
0.05,4,0.05
0.05,3,0.05
0.05,4,0.05
0.05,5,0.05
0.05,6,0.05
0.05,6,0.05
0.05,4,0.05
0.05,4,0.05
0.05,4,0.05
0.05,3,0.05
0.05,8,0.05
0.05,3,0.05
0.05,5,0.05
0.05,6,0.05
0.05,3,0.05
0.05,8,0.05
0.05,3,0.05
0.05,7,0.05
0.05,3,0.05
0.05,3,0.05
0.05,4,0.05
0.05,3,0.05
0.05,6,0.05
0.05,4,0.05
0.05,3,0.05
0.05,5,0.05
0.05,8,0.05
0.05,3,0.05
0.05,3,0.05
0.05,3,0.05
0.05,4,0.05
0.05,5,0.05
0.05,4,0.05
0.05,6,0.05
0.05,7,0.05
0.05,7,0.05
0.05,6,0.05
0.05,6,0.05
0.05,5,0.05
0.05,6,0.05
0.05,8,0.05
0.05,4,0.05
0.05,4,0.05
0.05,7,0.05
0.05,5,0.05
0.05,4,0.05
0.05,5,0.05
0.05,6,0.05
0.05,5,0.05
0.05,4,0.05
0.05,5,0.05
0.05,6,0.05
0.05,4,0.05
0.05,4,0.05
0.05,6,0.05
0.05,4,0.05
0.05,5,0.05
0.05,5,0.05
0.05,4,0.05
0.05,8,0.05
0.05,2,0.05
0.05,5,0.05
0.05,6,0.05
0.05,6,0.05
0.05,3,0.05
0.05,4,0.05
0.05,4,0.05
0.05,6,0.05
0.05,3,0.05
0.05,3,0.05
0.05,3,0.05
0.05,4,0.05
0.05,7,0.05
0.05,3,0.05
0.05,5,0.05
0.05,8,0.05
0.05,5,0.05
0.05,8,0.05
0.05,3,0.05
0.05,2,0.05
0.05,3,0.05
0.05,6,0.05
0.05,4,0.05
0.05,5,0.05
0.05,3,0.05
0.05,5,0.05
0.05,3,0.05
0.05,4,0.05
0.05,3,0.05
0.05,6,0.05
0.05,8,0.05
0.05,3,0.05
0.05,2,0.05
0.05,6,0.05
0.05,7,0.05
0.05,5,0.05
0.05,5,0.05
0.05,7,0.05
0.05,5,0.05
0.05,8,0.05
0.05,6,0.05
0.05,6,0.05
0.05,4,0.05
0.05,5,0.05
0.05,7,0.05
0.05,3,0.05
0.05,6,0.05
0.05,5,0.05
0.05,6,0.05
0.05,4,0.05
0.05,6,0.05
0.05,5,0.05
0.05,4,0.05
0.05,4,0.05
0.05,5,0.05
0.05,5,0.05
0.05,6,0.05
0.05,4,0.05
0.05,7,0.05
0.05,5,0.05
0.05,7,0.05
0.05,2,0.05
0.05,2,0.05
0.05,3,0.05
0.05,4,0.05
0.05,6,0.05
0.05,2,0.05
0.05,6,0.05
0.05,4,0.05
0.05,4,0.05
0.05,4,0.05
0.05,3,0.05
0.05,6,0.05
0.05,3,0.05
0.05,3,0.05
0.05,4,0.05
0.05,5,0.05
0.05,3,0.05
0.05,6,0.05
0.05,2,0.05
0.05,4,0.05
0.05,5,0.05
0.05,4,0.05
0.05,8,0.05
0.05,3,0.05
0.05,5,0.05
0.05,6,0.05
0.05,7,0.05
0.05,6,0.05
0.05,6,0.05
0.05,6,0.05
0.05,6,0.05
0.05,7,0.05
0.05,7,0.05
0.05,9,0.05
0.05,6,0.05
0.05,2,0.05
0.05,5,0.05
0.05,6,0.05
0.05,4,0.05
0.05,4,0.05
0.05,4,0.05
0.05,6,0.05
0.05,3,0.05
0.05,4,0.05
0.05,3,0.05
0.05,4,0.05
0.05,7,0.05
0.05,6,0.05
0.05,3,0.05
0.05,5,0.05
0.05,5,0.05
0.05,5,0.05
0.05,5,0.05
0.05,3,0.05
0.05,2,0.05
0.05,4,0.05
0.05,4,0.05
0.05,5,0.05
0.05,5,0.05
0.05,2,0.05
0.05,6,0.05
0.05,4,0.05
0.05,1,0.05
0.05,3,0.05
0.05,6,0.05
0.05,6,0.05
0.05,3,0.05
0.05,6,0.05
0.05,4,0.05
0.05,4,0.05
0.05,4,0.05
0.05,7,0.05
0.05,4,0.05
0.05,4,0.05
0.05,7,0.05
0.05,3,0.05
0.05,4,0.05
0.05,4,0.05
0.05,6,0.05
0.05,4,0.05
0.05,4,0.05
0.05,5,0.05
0.05,5,0.05
0.05,7,0.05
0.05,7,0.05
0.05,5,0.05
0.05,4,0.05
0.05,3,0.05
0.05,4,0.05
0.05,5,0.05
0.05,2,0.05
0.05,4,0.05
0.05,5,0.05
0.05,6,0.05
0.05,4,0.05
0.05,6,0.05
0.05,6,0.05
0.05,4,0.05
0.05,3,0.05
0.05,5,0.05
0.05,2,0.05
0.05,3,0.05
0.05,6,0.05
0.05,3,0.05
0.05,6,0.05
0.05,3,0.05
0.05,5,0.05
0.05,4,0.05
0.05,4,0.05
0.05,6,0.05
0.05,4,0.05
0.05,6,0.05
0.05,5,0.05
0.05,4,0.05
0.05,5,0.05
0.05,4,0.05
0.05,5,0.05
0.05,4,0.05
0.05,2,0.05
0.05,3,0.05
0.05,4,0.05
0.05,3,0.05
0.05,6,0.05
0.05,5,0.05
0.05,5,0.05
0.05,5,0.05
0.05,2,0.05
0.05,5,0.05
0.05,3,0.05
0.05,4,0.05
0.05,6,0.05
0.05,6,0.05
0.05,6,0.05
0.05,4,0.05
0.05,5,0.05
0.05,5,0.05
0.05,5,0.05
0.05,6,0.05
0.05,10,0.05
0.05,5,0.05
0.05,7,0.05
0.05,2,0.05
0.05,5,0.05
0.05,5,0.05
0.05,4,0.05
0.05,5,0.05
0.05,3,0.05
0.05,4,0.05
0.05,5,0.05
0.05,7,0.05
0.05,4,0.05
0.05,4,0.05
0.05,4,0.05
0.05,8,0.05
0.05,3,0.05
0.05,4,0.05
0.05,7,0.05
0.05,7,0.05
0.05,6,0.05
0.05,4,0.05
0.05,5,0.05
0.05,4,0.05
0.05,5,0.05
0.05,6,0.05
0.05,4,0.05
0.05,3,0.05
0.05,4,0.05
0.05,4,0.05
0.05,3,0.05
0.05,5,0.05
0.05,2,0.05
0.05,3,0.05
0.05,4,0.05
0.05,3,0.05
0.05,6,0.05
0.05,6,0.05
0.05,7,0.05
0.05,6,0.05
0.05,3,0.05
0.05,4,0.05
0.05,3,0.05
0.05,6,0.05
0.05,7,0.05
0.05,5,0.05
0.05,3,0.05
0.05,2,0.05
0.05,2,0.05
0.05,3,0.05
0.05,4,0.05
0.05,7,0.05
0.05,4,0.05
0.05,5,0.05
0.05,6,0.05
0.05,5,0.05
0.05,4,0.05
0.05,3,0.05
0.05,4,0.05
0.05,6,0.05
0.05,3,0.05
0.05,2,0.05
0.05,4,0.05
0.05,3,0.05
0.05,5,0.05
0.05,1,0.05
0.05,6,0.05
0.05,4,0.05
0.05,4,0.05
0.05,6,0.05
0.05,5,0.05
0.05,4,0.05
0.05,5,0.05
0.05,4,0.05
0.05,3,0.05
0.05,5,0.05
0.05,4,0.05
0.05,4,0.05
0.05,3,0.05
0.05,5,0.05
0.05,8,0.05
0.05,3,0.05
0.05,7,0.05
0.05,2,0.05
0.05,3,0.05
0.05,7,0.05
0.05,3,0.05
0.05,6,0.05
0.05,4,0.05
0.05,8,0.05
0.05,6,0.05
0.05,5,0.05
0.05,4,0.05
0.05,4,0.05
0.05,6,0.05
0.05,6,0.05
0.05,6,0.05
0.05,3,0.05
0.05,7,0.05
0.05,3,0.05
0.05,2,0.05
0.05,5,0.05
0.05,4,0.05
0.05,4,0.05
0.05,3,0.05
0.05,8,0.05
0.05,6,0.05
0.05,2,0.05
0.05,4,0.05
0.05,4,0.05
0.05,3,0.05
0.05,5,0.05
0.05,3,0.05
0.05,5,0.05
0.05,6,0.05
0.05,6,0.05
0.05,5,0.05
0.05,5,0.05
0.05,5,0.05
0.05,7,0.05
0.05,2,0.05
0.05,6,0.05
0.05,3,0.05
0.05,5,0.05
0.05,7,0.05
0.05,4,0.05
0.05,3,0.05
0.05,6,0.05
0.05,5,0.05
0.05,5,0.05
0.05,9,0.05
0.05,3,0.05
0.05,3,0.05
0.05,7,0.05
0.05,6,0.05
0.05,5,0.05
0.05,5,0.05
0.05,2,0.05
0.05,6,0.05
0.05,5,0.05
0.05,7,0.05
0.05,4,0.05
0.05,3,0.05
0.05,3,0.05
0.05,6,0.05
0.05,5,0.05
0.05,5,0.05
0.05,5,0.05
0.05,3,0.05
0.05,2,0.05
0.05,8,0.05
0.05,3,0.05
0.05,6,0.05
0.05,3,0.05
0.05,3,0.05
0.05,5,0.05
0.05,2,0.05
0.05,4,0.05
0.05,6,0.05
0.05,6,0.05
0.05,4,0.05
0.05,5,0.05
0.05,5,0.05
0.05,5,0.05
0.05,7,0.05
0.05,6,0.05
0.05,6,0.05
0.05,3,0.05
0.05,6,0.05
0.05,9,0.05
0.05,2,0.05
0.05,7,0.05
0.05,8,0.05
0.05,5,0.05
0.05,7,0.05
0.05,4,0.05
0.05,4,0.05
0.05,7,0.05
0.05,7,0.05
0.05,5,0.05
0.05,2,0.05
0.05,7,0.05
0.05,6,0.05
0.05,5,0.05
0.05,6,0.05
0.05,4,0.05
0.05,4,0.05
0.05,5,0.05
0.05,3,0.05
0.05,6,0.05
0.05,5,0.05
0.05,2,0.05
0.05,3,0.05
0.05,6,0.05
0.05,5,0.05
0.05,6,0.05
0.05,6,0.05
0.05,9,0.05
0.05,6,0.05
0.05,2,0.05
0.05,5,0.05
0.05,4,0.05
0.05,4,0.05
0.05,6,0.05
0.05,5,0.05
0.05,3,0.05
0.05,5,0.05
0.05,6,0.05
0.05,5,0.05
0.05,4,0.05
0.05,8,0.05
0.05,6,0.05
0.05,4,0.05
0.05,3,0.05
0.05,3,0.05
0.05,5,0.05
0.05,4,0.05
0.05,8,0.05
0.05,3,0.05
0.05,3,0.05
0.05,4,0.05
0.05,4,0.05
0.05,3,0.05
0.05,4,0.05
0.05,3,0.05
0.05,4,0.05
0.05,5,0.05
0.05,3,0.05
0.05,5,0.05
0.05,6,0.05
0.05,4,0.05
0.05,6,0.05
0.05,4,0.05
0.05,4,0.05
0.05,2,0.05
0.05,7,0.05
0.05,4,0.05
0.05,5,0.05
0.05,4,0.05
0.05,6,0.05
0.05,5,0.05
0.05,5,0.05
0.05,6,0.05
0.05,7,0.05
0.05,2,0.05
0.05,6,0.05
0.05,7,0.05
0.05,4,0.05
0.05,4,0.05
0.05,4,0.05
0.05,9,0.05
0.05,5,0.05
0.05,6,0.05
0.05,3,0.05
0.05,4,0.05
0.05,4,0.05
0.05,7,0.05
0.05,5,0.05
0.05,7,0.05
0.05,3,0.05
0.05,2,0.05
0.05,3,0.05
0.05,6,0.05
0.05,6,0.05
0.05,3,0.05
0.05,3,0.05
0.05,3,0.05
0.05,5,0.05
0.05,5,0.05
0.05,7,0.05
0.05,4,0.05
0.05,6,0.05
0.05,3,0.05
0.05,6,0.05
0.05,4,0.05
0.05,5,0.05
0.05,5,0.05
0.05,4,0.05
0.05,3,0.05
0.05,4,0.05
0.05,3,0.05
0.05,7,0.05
0.05,4,0.05
0.05,3,0.05
0.05,5,0.05
0.05,6,0.05
0.05,1,0.05
0.05,5,0.05
0.05,4,0.05
0.05,5,0.05
0.05,6,0.05
0.05,4,0.05
0.05,4,0.05
0.05,5,0.05
0.05,5,0.05
0.05,5,0.05
0.05,4,0.05
0.05,5,0.05
0.05,4,0.05
0.05,5,0.05
0.05,6,0.05
0.05,4,0.05
0.05,3,0.05
0.05,3,0.05
0.05,4,0.05
0.05,4,0.05
0.05,6,0.05
0.05,7,0.05
0.05,4,0.05
0.05,3,0.05
0.05,3,0.05
0.05,7,0.05
0.05,3,0.05
0.05,5,0.05
0.05,2,0.05
0.05,2,0.05
0.05,6,0.05
0.05,5,0.05
0.05,2,0.05
0.05,5,0.05
0.05,3,0.05
0.05,4,0.05
0.05,4,0.05
0.05,3,0.05
0.05,5,0.05
0.05,5,0.05
0.05,5,0.05
0.05,4,0.05
0.05,3,0.05
0.05,7,0.05
0.05,3,0.05
0.05,8,0.05
0.05,6,0.05
0.05,5,0.05
0.05,4,0.05
0.05,5,0.05
0.05,6,0.05
0.05,5,0.05
0.05,4,0.05
0.05,4,0.05
0.05,2,0.05
0.05,5,0.05
0.05,7,0.05
0.05,1,0.05
0.05,5,0.05
0.05,5,0.05
0.05,4,0.05
0.05,5,0.05
0.05,6,0.05
0.05,6,0.05
0.05,7,0.05
0.05,3,0.05
0.05,3,0.05
0.05,3,0.05
0.05,4,0.05
0.05,5,0.05
0.05,2,0.05
0.05,4,0.05
0.05,4,0.05
0.05,6,0.05
0.05,5,0.05
0.05,5,0.05
0.05,3,0.05
0.05,4,0.05
0.05,4,0.05
0.05,3,0.05
0.05,4,0.05
0.05,4,0.05
0.05,2,0.05
